A	0.0	0.0
B	0.0	0.0
C	0.0	0.0
D	0.0	0.0
E	0.0	0.0
F	0.0	0.0
G	0.0	0.0
H	0.0	0.0
I	0.0	0.0
J	16.5	6.9
K	0.0	0.0
L	30.1	81.2
M	0.0	0.0
N	0.0	0.0
O	0.0	0.0
P	0.0	0.0
Q	0.0	0.0
R	0.0	0.0
S	0.0	0.0
T	0.0	0.0
U	0.0	0.0
V	0.0	0.0
W	0.0	0.0
X	81.3	30.4
Y	0.0	0.0
Z	0.0	0.0
2	28.7	78.7
3	0.0	0.0
4	32.6	72.4
5	17.3	4.3
6	28.3	72.7
7	31.6	62.7
AA	0.0	0.0
AB	81.8	31.1
AC	0.0	0.0
AD	49.7	28.8
AE	82.9	32.1
AF	0.0	0.0
AG	0.0	0.0
AH	0.0	0.0
AI	0.0	0.0
AJ	0.0	0.0
AK	29.9	82.4
AL	82.7	25.4
AM	0.0	0.0
AN	81.5	30.6
A2	81.8	31.5
A3	35.0	71.8
A4	29.3	76.0
A5	0.0	0.0
A6	29.9	76.7
A7	0.0	0.0
AO	32.1	84.5
AP	28.3	72.8
AQ	29.5	81.3
AR	81.4	30.0
AS	83.4	30.5
AT	0.0	0.0
AU	0.0	0.0
AV	0.0	0.0
AW	29.4	81.5
AX	79.5	31.4
AY	29.4	74.0
AZ	42.4	79.6
BA	36.8	79.9
BB	31.3	72.8
BC	27.6	45.2
BD	28.7	77.1
BE	83.1	31.3
BF	0.0	0.0
BG	80.2	28.6
BH	40.2	67.7
BI	29.2	78.0
BJ	30.4	81.0
BK	39.7	66.8
BL	28.7	62.6
BM	84.1	29.2
BN	29.6	80.7
BO	82.7	30.0
BP	0.0	0.0
BQ	81.7	29.9
BR	82.6	28.7
BS	30.9	86.2
B2	34.0	87.0
B3	0.0	0.0
B4	29.0	80.5
B5	32.1	78.5
B6	79.7	30.7
B7	34.3	74.8
BT	30.7	84.4
BU	35.0	82.7
BV	83.2	30.0
BW	28.6	73.3
BX	27.9	66.1
BY	82.2	30.1
BZ	36.3	74.4
CA	27.9	69.9
CB	37.6	84.9
CC	83.4	25.4
CD	83.0	28.6
CE	83.3	28.6
CF	0.0	0.0
CG	82.9	28.2
CH	83.1	29.1
CI	28.3	78.5
CL	81.2	30.6
CM	32.4	86.4
CN	36.8	78.2
CO	83.3	28.7
CP	83.5	25.2
CQ	83.3	29.0
CR	29.6	82.9
CS	21.8	43.6
CT	27.7	64.3
CU	0.0	0.0
CV	83.1	29.3
CW	83.8	29.8
C2	0.0	0.0
C3	82.3	29.7
C5	38.0	87.2
C6	82.2	30.7
C7	81.8	31.1
CX	84.0	29.2
CY	33.7	86.8
CZ	82.6	30.9
DA	80.7	32.0
DB	83.0	28.9
DC	83.7	31.2
DD	83.6	29.0
DE	83.7	26.3
DF	82.5	26.1
DG	80.0	32.3
D2	83.5	27.3
D3	83.3	29.5
DJ	82.0	29.9
DK	83.1	28.9
DL	82.5	25.4
DM	79.6	30.5
DN	36.1	77.0
DO	83.7	26.7
DP	33.0	65.6
DQ	81.6	29.5
DR	82.8	28.4
DS	80.9	31.0
DT	81.9	32.0
DU	0.0	0.0
DV	81.0	27.3
DW	80.8	30.8
DX	83.7	29.4
DY	82.2	30.1
DZ	82.6	30.1
D4	36.9	79.2
D5	83.1	26.7
D6	80.8	32.4
D7	81.2	31.4
EA	81.3	31.7
EB	44.5	78.5
EC	81.8	30.4
ED	81.3	30.8
EE	0.0	0.0
EF	83.1	28.8
EG	83.7	30.0
EH	0.0	0.0
EI	83.9	28.4
EJ	82.9	30.1
EK	43.4	89.7
EL	0.0	0.0
EM	81.9	29.9
EN	0.0	0.0
E2	0.0	0.0
E3	0.0	0.0
E4	83.2	26.1
E5	36.3	77.8
E6	81.3	29.5
E7	83.3	27.5
EO	79.8	30.7
EP	81.5	29.1
EQ	49.8	77.7
ER	40.5	68.6
ES	38.3	78.0
ET	83.0	29.5
EU	36.9	78.4
EV	83.6	28.9
EW	43.8	79.8
EX	44.0	74.9
EY	83.2	25.8
EZ	0.0	0.0
FA	80.2	30.7
FB	83.5	25.6
FC	33.6	90.1
FD	0.0	0.0
FE	81.9	32.3
FF	82.1	30.3
FG	82.7	29.8
FH	32.7	67.2
FI	81.3	30.9
FJ	83.0	20.7
FK	83.6	32.1
FL	84.9	28.5
FN	79.8	27.8
FO	81.8	29.8
FP	83.0	29.0
F2	83.2	29.0
F3	40.5	80.9
F4	82.1	29.9
F5	83.4	29.0
F6	54.7	78.2
FQ	81.3	28.7
FR	83.0	29.4
FS	35.3	82.1
FT	80.3	32.4
FU	83.0	28.3
FV	34.6	82.2
FW	36.0	80.4
FX	31.9	63.2
FY	29.2	61.1
FZ	34.0	79.5
GC	82.2	31.3
GD	0.0	0.0
GE	41.5	76.5
GF	45.8	82.0
GG	82.3	30.0
GH	35.4	76.2
GI	39.2	86.2
GJ	82.9	30.7
GK	83.1	26.5
GL	0.0	0.0
GM	0.0	0.0
GN	83.4	28.8
GO	39.3	78.9
GP	83.5	31.1
GQ	82.5	28.7
GR	83.7	28.4
GS	0.0	0.0
GT	0.0	0.0
GU	36.5	84.3
GV	83.3	28.3
G2	36.9	88.2
G3	82.9	29.7
G4	35.6	89.2
G5	82.9	30.2
G6	83.0	27.7
G7	80.5	31.4
GX	34.5	89.4
GY	83.3	31.3
GZ	34.8	64.3
HA	83.4	29.7
HB	34.6	81.2
HC	84.0	24.8
HD	83.6	29.3
HE	45.6	66.6
HF	83.2	29.8
HG	0.0	0.0
H2	82.4	30.6
HH	83.7	24.3
HI	42.2	85.6
HJ	40.5	76.9
HK	40.9	74.1
HL	43.7	75.7
HM	40.7	88.2
HN	82.6	24.7
HO	82.1	28.8
HP	83.0	33.0
HQ	83.9	28.2
HR	33.0	86.1
HS	43.8	82.4
HT	33.8	88.5
HU	35.4	82.2
HV	37.5	80.3
HW	83.7	26.7
HX	33.1	84.7
HY	41.6	51.5
HZ	83.0	29.6
H4	36.6	57.5
H5	84.2	26.8
H6	40.7	46.0
H7	47.6	81.7
IA	83.2	28.5
IB	80.9	30.3
IC	82.6	29.9
ID	35.3	82.7
IE	81.2	30.3
IF	40.8	61.5
IG	83.7	28.2
IH	0.0	0.0
II	0.0	0.0
IJ	39.0	57.6
IK	83.4	30.3
IL	82.0	31.1
I2	79.4	30.6
I3	82.0	27.1
IM	83.8	30.8
IN	53.3	76.3
IO	0.0	0.0
IP	36.3	85.2
IQ	82.2	29.4
IR	81.9	30.5
IS	82.4	30.2
IT	0.0	0.0
IU	37.7	70.6
IW	82.1	30.3
IX	39.0	57.5
IY	45.0	69.3
IZ	83.3	30.3
I6	0.0	0.0
I7	40.4	75.3
JA	0.0	0.0
JB	40.2	85.7
JC	43.7	83.3
JD	82.8	29.0
JE	42.3	81.1
JF	83.4	29.9
JG	0.0	0.0
JH	83.3	27.5
JI	0.0	0.0
JJ	34.1	66.6
JK	0.0	0.0
JL	83.1	29.6
JM	82.8	26.7
JN	42.5	74.6
JO	81.6	29.7
J2	48.4	87.2
J3	0.0	0.0
J4	0.0	0.0
J5	45.6	76.7
J6	43.8	72.1
J7	0.0	0.0
JP	84.6	27.2
JQ	82.0	30.9
JR	0.0	0.0
JS	0.0	0.0
JT	84.0	29.2
JU	83.6	26.6
JV	38.9	72.3
JW	41.1	89.6
JX	36.2	58.0
JY	82.3	28.9
JZ	83.8	29.9
KA	41.6	71.1
KB	83.9	31.7
KC	82.5	28.9
KD	0.0	0.0
KE	83.5	29.6
KF	0.0	0.0
KG	38.0	86.5
KH	82.6	29.3
KI	83.8	30.6
KJ	79.3	30.6
KK	0.0	0.0
KL	81.4	31.0
KM	81.7	29.8
KN	40.6	89.7
KO	85.1	28.6
KP	82.5	31.9
KQ	83.2	30.0
KR	35.0	85.6
KS	38.4	86.7
KT	78.8	30.3
KU	39.6	89.3
KV	54.5	49.3
K2	82.6	32.1
K3	82.9	31.0
K4	82.6	28.9
K5	83.6	29.9
K6	82.1	31.6
K7	34.6	88.8
KW	82.7	31.6
KX	81.7	30.0
KY	0.0	0.0
KZ	83.5	27.8
LA	0.0	0.0
LB	83.0	29.4
LC	83.3	32.4
LD	83.3	29.9
LE	83.2	31.5
LF	36.8	88.4
LG	46.8	83.2
LH	81.9	24.1
LI	84.1	27.6
L2	47.5	84.8
LJ	82.2	28.9
LK	84.1	26.1
LL	83.2	29.9
LM	80.4	29.2
LN	82.3	30.3
LO	34.5	89.7
LP	79.0	31.8
LQ	46.7	64.5
LR	84.0	29.8
LS	81.6	28.9
LT	34.5	66.7
LV	83.0	27.9
LW	82.2	30.5
LX	83.1	29.8
LY	35.9	89.4
LZ	81.0	29.4
L3	82.3	30.5
L4	82.0	30.3
L5	83.3	27.2
L6	81.4	28.7
L7	82.6	31.4
MA	83.9	28.8
MB	83.3	29.0
MC	83.0	29.2
MD	81.3	28.7
ME	81.4	30.7
MF	81.6	30.6
MG	47.0	85.7
MH	83.1	29.2
MI	80.7	29.2
MJ	84.4	29.6
MK	0.0	0.0
ML	82.4	30.1
MM	83.3	28.0
MN	83.2	24.9
M2	84.4	29.0
M3	82.0	28.1
M4	37.3	82.1
MO	36.8	90.1
MP	80.2	29.1
MQ	33.3	86.0
MR	46.4	85.6
MS	82.2	30.1
MT	82.8	29.9
MU	82.6	29.2
MV	83.3	29.1
MW	82.7	31.1
MX	83.2	28.1
MY	81.1	30.7
MZ	38.2	81.6
M5	83.5	29.9
M6	83.2	30.2
NA	83.6	27.4
NB	38.9	66.5
NC	49.2	31.3
ND	46.3	86.1
NE	81.9	29.9
NF	82.0	30.0
NG	39.8	85.7
NH	83.0	29.0
NI	81.8	29.1
NJ	40.9	63.3
NK	34.2	88.4
NL	82.7	28.9
NM	46.3	85.0
N2	79.9	30.4
N3	83.9	26.8
N4	81.9	30.2
N5	82.2	28.9
N6	45.1	84.3
N7	83.9	28.8
NO	83.5	26.6
NP	47.9	82.5
NR	0.0	0.0
NS	42.6	63.0
NT	83.0	31.0
NU	82.4	30.8
NV	81.9	29.0
NW	39.8	83.3
NX	83.2	28.9
NY	45.2	64.7
NZ	84.4	29.7
OA	0.0	0.0
OB	33.7	66.5
OC	82.2	30.4
OD	81.7	28.6
OE	44.8	89.9
OF	82.2	28.9
OG	81.4	31.1
OH	43.0	26.7
OI	81.8	30.0
OJ	48.8	87.2
OK	81.8	30.3
OL	83.8	30.4
OM	46.7	84.0
ON	34.6	82.0
OO	81.4	28.7
OP	81.2	31.0
OQ	37.3	84.9
OR	49.7	57.1
OS	82.9	30.7
O2	80.8	30.3
O3	83.3	29.5
O4	46.1	77.4
O5	34.7	84.7
O6	34.9	87.5
O7	81.0	31.0
OT	82.4	30.1
OU	81.9	31.8
OV	83.0	30.4
OW	82.3	30.9
OX	81.4	33.8
OY	82.4	29.7
OZ	34.7	85.4
PA	33.7	88.2
PB	81.8	31.9
PC	82.2	30.4
PD	79.6	29.7
PE	0.0	0.0
PF	81.7	30.8
PG	82.5	28.5
PH	82.8	29.4
PI	82.3	29.3
PJ	33.8	86.2
PK	81.3	32.1
PL	82.8	28.7
PM	83.5	30.6
PN	82.9	31.7
PO	80.1	31.2
PP	81.5	30.6
PQ	83.0	31.6
PR	83.1	30.4
PS	80.7	29.4
PT	82.6	28.7
PU	81.7	29.0
PV	82.9	30.0
PW	84.1	25.9
P2	83.1	29.7
P3	80.8	30.6
P4	82.1	26.6
P5	35.0	88.1
P6	82.0	31.2
P7	36.7	91.6
PX	82.8	27.7
PZ	83.8	28.0
QA	82.4	29.0
QB	82.7	30.0
QC	81.4	30.1
QD	82.8	27.8
QE	0.0	0.0
QF	83.0	29.5
QG	83.5	28.4
QH	83.6	24.2
QI	83.1	24.8
QJ	83.0	30.3
QK	82.6	29.4
QL	38.1	90.0
QM	84.1	27.6
QN	81.2	30.4
QO	83.5	27.3
QP	81.3	29.7
QQ	0.0	0.0
QR	33.0	67.8
QS	82.3	30.5
QT	80.3	30.4
QU	82.9	29.5
QV	83.0	29.9
QW	82.8	29.5
QX	83.2	30.5
QY	33.9	88.1
Q2	79.7	30.9
Q3	41.4	86.6
Q4	83.1	29.9
Q5	83.5	28.2
Q6	35.2	90.4
Q7	82.6	27.1
QZ	34.3	90.1
RA	34.9	89.7
RD	43.4	84.8
RE	80.3	29.7
RF	37.5	87.9
RG	33.4	87.5
RH	81.3	28.7
RI	79.6	30.1
RJ	83.0	29.4
RK	82.9	31.9
RL	83.8	26.9
RM	81.7	30.3
RN	80.2	30.0
RO	0.0	0.0
R2	81.0	29.6
R3	82.5	29.4
R4	82.9	27.1
R5	83.2	29.8
R6	36.7	87.2
R7	80.7	31.8
RP	83.8	29.2
RQ	38.2	87.0
RR	83.0	28.1
RS	36.5	89.9
RT	33.5	89.5
RU	83.5	27.9
RV	34.5	78.5
RW	80.4	30.7
RX	44.7	90.5
RY	82.9	29.0
RZ	83.2	26.7
