GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Best_f0,P1_Best_f1,P1_Worst_f0,P1_Worst_f1,P1_FL_f0,P1_FL_f1,P1_LL_f0,P1_LL_f1
0,0,0,11.8044,10,10,1,0.9,10,0,0,0,0,0,0,0,0,0,4978.4,1.65,0.69,16.5,6.9,0,0,16.5,6.9,0,0
1,17868,1,11.2353,10,10,1,0.909,26,0,0,4,0.287141,3,0.83884,3,0.537341,0.875,4955.88,7.99375,7.40625,30.1,81.2,0,0,55.7,55.8,0,0
2,80950,2,10.6647,10,10,1,0.9171,46,0,0,0,0.287141,9,0.843044,1,0.604952,0.6,4987.4,51.01,56.93,30.1,81.2,81.5,30.6,43.875,67.025,54.9,51.65
3,183291,3,10.4405,10,10,1,0.92439,64,0,0,2,0.356881,2,0.850695,6,0.767835,0.7,5000.9,53.29,59.14,82.9,32.1,35,71.8,60.2,56.675,48.6833,60.7833
4,301464,4,10.5249,10,10,1,0.930951,83,0,0,1,0.388209,6,0.8523,3,0.798751,0.363636,5000.27,56.2455,58.7909,82.9,32.1,82.7,30,59.4625,56.6625,56.55,55.5
5,428910,5,10.5571,10,10,1,0.936856,102,0,0,1,0.411861,3,0.850125,6,0.800374,0.416667,5000.92,59.4917,56.7167,82.9,32.1,83.4,25.4,63.9286,53.5143,48.7333,66.9
6,505886,6,10.4673,10,10,1,0.84417,117,0,2,3,0.455901,4,0.841338,3,0.798768,0.416667,4994.25,67.8,47.9333,82.9,32.1,83.3,29,66.4125,50.55,83.25,29.5
7,553131,7,10.423,10,10,1,0.858753,132,0,5,2,0.479244,4,0.825808,4,0.799441,0.333333,4990,71.7667,44.2083,82.9,32.1,84,29.2,72.25,44.0875,82.6,30.8
8,612439,8,10.4347,10,10,1,0.773878,151,0,5,1,0.488175,1,0.820865,8,0.777558,0.333333,4994.67,67.8083,48.175,82.9,32.1,83.7,29.4,72.25,44.0875,82.8,30.7
9,664430,9,10.4704,10,10,1,0.79549,169,0,5,2,0.499245,4,0.818393,4,0.763905,0.333333,4996.5,69.2167,48.475,82.9,32.1,83.9,28.4,73.2875,44.275,61.2,55.95
10,736080,10,10.5115,10,10,1,0.814941,189,0,5,0,0.499245,8,0.813952,2,0.760185,0,4996.7,67.99,51.17,82.9,32.1,43.8,79.8,67.99,51.17,67.99,51.17
11,776838,11,10.4779,10,10,1,0.832447,202,0,6,6,0.505157,3,0.805566,1,0.760945,0,4998.83,66.4917,52.6083,84.1,29.2,84.9,28.5,63.11,57.05,63.11,57.05
12,856829,12,10.5108,10,10,1,0.750202,219,0,7,2,0.498782,3,0.791283,5,0.76441,0,4998.75,66.9,52.65,84.1,29.2,54.7,78.2,63.6,57.1,63.6,57.1
13,919100,13,10.511,10,10,1,0.676182,237,0,7,2,0.491807,3,0.781571,5,0.763992,0.0833333,4998.75,67.0083,52.9417,84.1,29.2,43.8,79.8,65.9444,54.9667,43.8,79.8
14,991934,14,10.4796,10,10,1,0.609564,253,0,8,3,0.48067,3,0.769522,4,0.753174,0.0833333,5000,66.2333,53.7417,84.1,29.2,34.5,89.4,65.9444,54.9667,34.5,89.4
15,1102166,15,10.5177,10,10,1,0.549607,273,0,8,0,0.48067,5,0.761841,5,0.730706,0,5001.45,65.8545,55.1091,84.1,29.2,43.8,82.4,63.95,57.77,63.95,57.77
16,1156740,16,10.5204,10,10,1,0.495647,289,0,9,3,0.473618,5,0.754235,2,0.725561,0,5003.82,62.5636,59.8273,84.1,29.2,47.6,81.7,60.33,62.96,60.33,62.96
17,1207839,17,10.5366,10,10,1,0.447082,304,0,12,2,0.470474,2,0.746856,6,0.713708,0,5001.67,64.3333,57.4083,84.1,29.2,83.8,30.8,63.24,58.22,63.24,58.22
18,1267312,18,10.5135,10,10,1,0.403374,321,0,12,3,0.473179,5,0.727633,2,0.709953,0,5002.54,62.7462,59.4,84.1,29.2,43.7,83.3,63.03,58.35,63.03,58.35
19,1331665,19,10.5425,10,10,1,0.403374,340,0,12,1,0.47258,3,0.717298,6,0.701968,0.25,5005,67.375,54.1083,84.1,29.2,41.1,89.6,65.7143,56.1429,69.6333,49.8667
20,1408174,20,10.4341,10,10,1,0.462036,360,0,12,0,0.47258,6,0.704409,4,0.702561,0.333333,5008.33,67.2417,54.2167,84.1,29.2,82.5,31.9,68.1375,52.7,83.25,30.55
21,1469385,21,10.3907,10,10,1,0.416833,379,0,12,1,0.473197,2,0.704666,7,0.697255,0.0909091,5000.45,69.6636,51.2455,84.1,29.2,83.2,31.5,69.8222,50.4444,83.2,31.5
22,1538768,22,10.434,10,10,1,0.37615,396,0,13,2,0.475168,6,0.705503,2,0.694878,0,5001,69.7364,51.0909,84.1,29.2,84,29.8,71.24,48.38,71.24,48.38
23,1585266,23,10.4148,10,10,1,0.437535,415,0,13,1,0.47655,4,0.698417,5,0.688888,0,5002,69.7636,51.1273,43.4,89.7,84.4,29.6,71.27,48.42,71.27,48.42
24,1653943,24,10.415,10,10,1,0.492781,430,0,13,5,0.494535,3,0.69259,2,0.687649,0,5002,70.0545,51.1273,43.4,89.7,36.8,90.1,71.59,48.42,71.59,48.42
25,1723308,25,10.415,10,10,1,0.444503,445,0,15,3,0.500131,3,0.687691,4,0.682904,0,5002,70.0545,51.1273,43.4,89.7,36.8,90.1,71.59,48.42,71.59,48.42
26,1783968,26,10.4149,10,10,1,0.401053,462,0,16,2,0.501001,5,0.680742,3,0.680033,0,5001.36,70.0545,51.1364,43.4,89.7,84.4,29.7,71.59,48.43,71.59,48.43
27,1863919,27,10.4467,10,10,1,0.459947,481,0,16,1,0.497295,2,0.678829,7,0.678714,0,5002.91,70.2182,51.1545,83.6,32.1,48.8,87.2,71.77,48.45,71.77,48.45
28,1940910,28,10.3565,10,10,1,0.512953,499,0,16,2,0.491853,4,0.674959,4,0.681883,0,5000.67,71.15,49.7083,83.6,32.1,81.4,33.8,75.03,43.11,75.03,43.11
29,1991871,29,10.3565,10,10,1,0.462657,517,0,16,2,0.488348,5,0.667643,3,0.682337,0,5000.67,71.15,49.7083,83.6,32.1,81.4,33.8,75.03,43.11,75.03,43.11
30,2043985,30,10.4459,10,10,1,0.515392,534,0,17,2,0.486259,6,0.656288,2,0.682646,0,5002.38,68.5,52.9308,83.6,32.1,36.7,91.6,70.4,48.97,70.4,48.97
31,2099550,31,10.4806,10,10,1,0.562853,550,0,17,4,0.488477,5,0.647096,1,0.683184,0,5006.62,64.9385,57.5692,83.6,32.1,38.1,90,65.77,55,65.77,55
32,2194084,32,10.4806,10,10,1,0.507567,570,0,17,0,0.488477,2,0.643816,8,0.68234,0,5006.62,64.9385,57.5692,83.6,32.1,38.1,90,65.77,55,65.77,55
33,2283747,33,10.494,10,10,1,0.555811,590,0,17,0,0.488477,4,0.638719,6,0.675752,0.0769231,5001.85,69.0692,52.8769,83.6,32.1,83.9,28.6,69.7222,51.1556,83.9,28.6
34,2376143,34,10.5347,10,10,1,0.501229,610,0,17,0,0.488477,2,0.636636,8,0.670517,0.0769231,5004.62,69.0308,52.9769,83.6,32.1,83.4,29.9,69.7222,51.1556,83.4,29.9
35,2428755,35,10.478,10,10,1,0.550107,626,0,18,3,0.48807,3,0.634171,4,0.667188,0.0769231,5004.23,68.8385,53.2923,83.6,32.1,80.9,33.6,69.7222,51.2,80.9,33.6
36,2497488,36,10.5058,10,10,1,0.496096,640,0,20,4,0.480758,3,0.631427,3,0.66479,0.0769231,5007.08,65.8231,57.5,83.6,32.1,41.7,88.3,69.7222,51.2,41.7,88.3
37,2574219,37,10.4236,10,10,1,0.545486,658,0,21,1,0.476339,4,0.628717,5,0.662415,0,5006.67,67.8917,54.7417,83.6,32.1,84.5,29.1,71.12,49.15,71.12,49.15
38,2652750,38,10.3335,10,10,1,0.589938,675,0,22,2,0.470079,5,0.626064,3,0.662853,0.0833333,4999.75,71.1833,49.7,83.6,32.1,84.1,29.1,74.0667,44.6556,84.1,29.1
39,2692546,39,10.3512,10,10,1,0.531944,693,0,22,2,0.467177,3,0.624014,5,0.662559,0.0833333,5000.92,71.125,49.8083,83.6,32.1,83.4,30.4,74.0667,44.6556,83.4,30.4
40,2771660,40,10.3235,10,10,1,0.57775,713,0,22,0,0.467177,4,0.620356,6,0.660305,0,4998.5,71.1583,49.8667,83.6,32.1,83.8,31.1,75.04,43.3,75.04,43.3
41,2817598,41,10.3235,10,10,1,0.520975,725,0,25,5,0.463155,1,0.61944,4,0.658306,0,4998.5,71.1583,49.8667,83.6,32.1,83.8,31.1,75.04,43.3,75.04,43.3
42,2863587,42,10.3235,10,10,1,0.469877,742,0,25,3,0.461044,1,0.618582,6,0.652577,0,4998.5,71.1583,49.8667,83.6,32.1,83.8,31.1,75.04,43.3,75.04,43.3
43,2905343,43,10.3235,10,10,1,0.423889,761,0,25,1,0.460106,3,0.616483,6,0.648023,0,4998.5,71.1583,49.8667,83.6,32.1,83.8,31.1,75.04,43.3,75.04,43.3
44,2991029,44,10.3235,10,10,1,0.3825,781,0,25,0,0.460106,5,0.613561,5,0.645351,0,4998.5,71.1583,49.8667,83.6,32.1,83.8,31.1,75.04,43.3,75.04,43.3
45,3060233,45,10.3235,10,10,1,0.34525,799,0,25,2,0.456873,2,0.612592,6,0.641725,0,4998.5,71.1583,49.8667,83.6,32.1,83.8,31.1,75.04,43.3,75.04,43.3
46,3106974,46,10.3235,10,10,1,0.409725,819,0,25,0,0.456873,6,0.612564,4,0.639,0,4998.25,71.2083,49.8917,83.6,32.1,82,34.1,75.1,43.33,75.1,43.33
47,3186202,47,10.3235,10,10,1,0.369753,838,0,25,1,0.455546,1,0.612742,8,0.634062,0,4998.25,71.2083,49.8917,83.6,32.1,82,34.1,75.1,43.33,75.1,43.33
48,3274822,48,10.4524,10,10,1,0.431778,857,0,26,0,0.455546,7,0.614125,3,0.632486,0.0833333,4999.92,67.3667,54.4083,83.6,32.1,37,86.6,74.2111,44.5444,37,86.6
